event_id,lat,lon,event_cause,severity_tier,closure_risk,f4_risk,type_closure_rate,expected_clearance_min,p90_buffer_min,recommended_personnel,barricade,diversion,resource_hold_min,review_flag,night_flag,location_name,notes
FKID001689,12.9602666,77.5571056,others,Medium,0.086,0.054,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001690,12.9556047,77.6914427,others,Medium,0.086,0.085,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001691,12.9940312,77.4888442,public_event,High,0.827,0.827,0.464,46,110,4,True,True,110,False,False,,[]
FKID001692,13.0454683,77.5221848,vehicle_breakdown,Low,0.067,0.067,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001693,12.9878558,77.5597174,others,Medium,0.086,0.076,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001694,13.0458822,77.5222063,vehicle_breakdown,Low,0.043,0.041,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001695,12.8395194,77.6775618,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,False,,[]
FKID001696,12.9609817,77.7476133,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001697,13.0651374,77.5931209,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001698,12.9888963,77.4990903,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001699,12.9730184,77.5704715,vehicle_breakdown,Low,0.079,0.079,0.043,41,113,1,False,False,113,False,False,,[]
FKID001700,12.9609349,77.7475901,accident,Low,0.03,0.028,0.03,40,89,1,False,False,89,False,False,,[]
FKID001701,12.9853941,77.7532091,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,False,,[]
FKID001702,12.9483928,77.5937297,vehicle_breakdown,Low,0.076,0.076,0.043,41,113,1,False,False,113,False,False,,[]
FKID001703,12.9650934,77.586316,vehicle_breakdown,Low,0.078,0.078,0.043,41,113,1,False,False,113,False,False,,[]
FKID001704,13.0298275,77.539851,vehicle_breakdown,Low,0.043,0.011,0.043,41,113,1,False,False,113,False,False,,[]
FKID001705,12.9831519,77.5883979,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001706,12.9573329,77.5520376,vehicle_breakdown,Low,0.043,0.032,0.043,41,113,1,False,False,113,False,False,,[]
FKID001707,12.9877328,77.5722905,vehicle_breakdown,Low,0.072,0.072,0.043,41,113,1,False,False,113,False,False,,[]
FKID001708,12.9870566,77.5723588,vehicle_breakdown,Low,0.072,0.072,0.043,41,113,1,False,False,113,False,False,,[]
FKID001709,12.9879975,77.512117,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001710,12.9928164,77.5714316,vehicle_breakdown,Low,0.072,0.072,0.043,41,113,1,False,False,113,False,False,,[]
FKID001711,13.0195477,77.7085971,vehicle_breakdown,Low,0.133,0.133,0.043,41,113,1,False,False,113,False,False,,[]
FKID001712,12.9754723,77.6139912,vehicle_breakdown,Low,0.049,0.049,0.043,41,113,1,False,False,113,False,False,,[]
FKID001713,13.0313911,77.5358465,vehicle_breakdown,Low,0.046,0.046,0.043,41,113,1,False,False,113,False,False,,[]
FKID001714,12.9275416,77.54690343,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001715,12.9308745,77.6141869,vehicle_breakdown,Low,0.043,0.027,0.043,41,113,1,False,False,113,False,False,,[]
FKID001716,12.9806936,77.5706825,vehicle_breakdown,Low,0.108,0.108,0.043,41,113,1,False,False,113,False,False,,[]
FKID001717,12.9573227,77.5521473,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,False,,[]
FKID001718,13.056975,77.473185,accident,Low,0.079,0.079,0.03,40,89,1,False,False,89,False,False,,[]
FKID001719,12.8798214,77.6457344,vehicle_breakdown,Low,0.063,0.063,0.043,41,113,1,False,False,113,False,False,,[]
FKID001720,12.9060249,77.5734258,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID001721,12.9697339,77.7009261,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001722,12.9562658,77.547529,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,False,,[]
FKID001723,12.9708314,77.6048855,others,Medium,0.092,0.092,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001724,13.0984321,77.5986965,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,False,,[]
FKID001725,12.9863058,77.5890147,tree_fall,High,0.415,0.415,0.394,90,1140,3,True,True,90,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001726,12.9696105,77.7005267,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001727,13.0404287,77.7413915,accident,Low,0.066,0.066,0.03,40,89,1,False,False,89,False,False,,[]
FKID001728,12.920716,77.66500052,construction,High,0.265,0.094,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001729,12.9865858,77.5889172,vehicle_breakdown,Low,0.043,0.036,0.043,41,113,1,False,False,113,False,False,,[]
FKID001730,13.0348153,77.5295849,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001731,13.0272048,77.5858748,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID001732,13.0641223,77.5050987,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,False,,[]
FKID001733,13.1213642,77.6179253,pot_holes,Low,0.198,0.198,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001734,13.01495345,77.65422187,public_event,High,0.66,0.66,0.464,46,110,4,True,True,110,False,False,,[]
FKID001735,13.034997,77.5889459,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001736,12.9020853,77.6010679,congestion,Medium,0.044,0.026,0.044,72,97,2,False,False,97,False,False,,[]
FKID001737,12.9061564,77.5732877,vehicle_breakdown,Low,0.043,0.03,0.043,41,113,1,False,False,113,False,False,,[]
FKID001738,13.0425801,77.6110928,construction,High,0.265,0.063,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001739,12.9532425,77.5382008,vehicle_breakdown,Low,0.044,0.044,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001740,12.9575199,77.5518744,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,False,,[]
FKID001741,13.0402335,77.544252,vehicle_breakdown,Low,0.043,0.037,0.043,41,113,1,False,False,113,False,False,,[]
FKID001742,13.0728983,77.59279,vehicle_breakdown,Low,0.043,0.035,0.043,41,113,1,False,False,113,False,False,,[]
FKID001743,12.9020756,77.6011187,road_conditions,High,0.124,0.111,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001744,12.9440683,77.5270117,others,Medium,0.086,0.039,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001745,12.9440233,77.5270286,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,False,,[]
FKID001746,12.9575083,77.5518509,vehicle_breakdown,Low,0.069,0.069,0.043,41,113,1,False,False,113,False,False,,[]
FKID001747,12.9914079,77.6566002,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001748,12.9906501,77.6561562,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001749,12.982207,77.5669262,vehicle_breakdown,Low,0.08,0.08,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001750,13.0197719,77.7086475,vehicle_breakdown,Low,0.088,0.088,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001751,13.0383987,77.6260083,others,Medium,0.097,0.097,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001752,12.9605311,77.5569164,vehicle_breakdown,Low,0.088,0.088,0.043,41,113,1,False,False,113,False,False,,[]
FKID001753,13.0976588,77.5989724,vehicle_breakdown,Low,0.043,0.033,0.043,41,113,1,False,False,113,False,False,,[]
FKID001754,13.0379834,77.626067,others,Medium,0.097,0.097,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001755,13.0412739,77.6176409,congestion,Medium,0.044,0.026,0.044,72,97,2,False,False,97,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001756,12.8304088,77.6810331,vehicle_breakdown,Low,0.126,0.126,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001757,13.0391412,77.6237299,vehicle_breakdown,Low,0.043,0.033,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001758,12.9954628,77.6667978,construction,High,0.265,0.04,0.265,296,1420,3,False,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001759,13.0004981,77.5839985,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001760,12.9932072,77.5850028,vehicle_breakdown,Low,0.043,0.032,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001761,12.936306,77.7055441,construction,High,0.265,0.086,0.265,296,1420,3,False,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001762,12.913892,77.5671955,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001763,12.9821926,77.5674075,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001764,12.9863048,77.5886954,vehicle_breakdown,Low,0.043,0.036,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001765,12.979913,77.5642518,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001766,12.9424555,77.7472966,road_conditions,High,0.124,0.039,0.124,246,918,3,False,True,246,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001767,12.9996581,77.5838823,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001768,13.0391723,77.7399836,vehicle_breakdown,Low,0.133,0.133,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001769,13.0398967,77.5444783,accident,Low,0.037,0.037,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001770,12.9993009,77.583823,road_conditions,High,0.124,0.066,0.124,246,918,3,False,True,246,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001771,13.0390181,77.7400752,vehicle_breakdown,Low,0.133,0.133,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001772,12.9794789,77.5105977,vehicle_breakdown,Low,0.097,0.097,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001773,13.0252361,77.5848655,vehicle_breakdown,Low,0.043,0.025,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001774,12.9620957,77.5636074,vehicle_breakdown,Low,0.088,0.088,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001775,12.9628603,77.7014433,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001776,12.9137902,77.5674728,vehicle_breakdown,Low,0.043,0.031,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001777,13.0189117,77.5839803,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001778,13.1212,77.6181383,pot_holes,Low,0.198,0.198,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001779,12.9233078,77.5762663,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001780,12.947922,77.5345219,vehicle_breakdown,Low,0.06,0.06,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001781,12.8768328,77.6108768,pot_holes,Low,0.024,0.021,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001782,13.0395514,77.5455174,vehicle_breakdown,Low,0.043,0.028,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001783,13.0405567,77.54633,vehicle_breakdown,Low,0.043,0.028,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001784,12.9645383,77.6392833,pot_holes,Low,0.025,0.025,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001785,13.0227369,77.58459,accident,Low,0.03,0.021,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001786,13.0189335,77.5840235,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001787,12.9061681,77.5856637,vehicle_breakdown,Low,0.044,0.044,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001788,13.040034,77.5438675,vehicle_breakdown,Low,0.108,0.108,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001789,12.9646596,77.6389287,pot_holes,Low,0.025,0.025,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001790,12.9614517,77.6317933,vehicle_breakdown,Low,0.12,0.12,0.043,41,113,1,False,False,113,False,False,,[]
FKID001791,12.9871723,77.5744464,vehicle_breakdown,Low,0.066,0.066,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001792,13.0413024,77.6214845,congestion,Medium,0.044,0.026,0.044,72,97,2,False,False,97,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001793,12.983625,77.7523193,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,False,,[]
FKID001794,13.0227369,77.58459,accident,Low,0.03,0.021,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001795,13.0445883,77.5828867,congestion,Medium,0.044,0.022,0.044,72,97,2,False,False,97,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001796,12.9994223,77.5411015,vehicle_breakdown,Low,0.043,0.038,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001797,13.149579,77.6173799,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001798,12.9473062,77.5315111,vehicle_breakdown,Low,0.053,0.053,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001799,12.9278187,77.600452,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,False,,[]
FKID001800,12.9167352,77.5952446,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,False,,[]
FKID001801,12.87032563,77.65862134,public_event,High,0.752,0.752,0.464,46,110,4,True,True,110,False,False,,[]
FKID001802,12.9597234,77.5194577,vehicle_breakdown,Low,0.251,0.251,0.043,41,113,1,False,False,113,False,False,,[]
FKID001803,12.9233554,77.5763168,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001804,13.03653,77.5889783,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001805,12.8545526,77.6655761,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001806,13.0450748,77.508345,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001807,12.9668569,77.6106922,vehicle_breakdown,Low,0.074,0.074,0.043,41,113,1,False,False,113,False,False,,[]
FKID001808,12.9883409,77.7298618,vehicle_breakdown,Low,0.078,0.078,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001809,12.9635794,77.5845525,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001810,13.0489105,77.5500282,vehicle_breakdown,Low,0.094,0.094,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001811,13.0597983,77.5932733,vehicle_breakdown,Low,0.043,0.036,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001812,13.0192054,77.7080819,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,False,,[]
FKID001813,12.973688,77.6410815,vehicle_breakdown,Low,0.083,0.083,0.043,41,113,1,False,False,113,False,False,,[]
FKID001814,12.9572593,77.7009657,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID001815,12.9693675,77.7006326,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001816,13.0449557,77.7482787,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,False,,[]
FKID001817,13.0237833,77.715905,vehicle_breakdown,Low,0.043,0.043,0.043,41,113,1,False,False,113,False,False,,[]
FKID001818,12.9362202,77.7054416,construction,High,0.265,0.086,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001819,12.9171587,77.5873127,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,False,,[]
FKID001820,13.0167508,77.7036194,accident,Low,0.066,0.066,0.03,40,89,1,False,False,89,False,False,,[]
FKID001821,12.9613839,77.6316873,water_logging,High,0.088,0.088,0.085,113,1066,3,False,True,113,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001822,12.9495506,77.699682,others,Medium,0.086,0.085,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001823,13.0782574,77.5926794,vehicle_breakdown,Low,0.043,0.035,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001824,12.9862133,77.6461867,accident,Low,0.03,0.022,0.03,40,89,1,False,False,89,False,False,,[]
FKID001825,12.8768583,77.61068,pot_holes,Low,0.024,0.021,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001826,13.0046931,77.6360591,others,Medium,0.086,0.051,0.086,75,551,2,False,False,75,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001827,13.0039477,77.6196803,pot_holes,Low,0.033,0.033,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001828,13.0595733,77.5594,road_conditions,High,0.124,0.124,0.124,246,918,3,False,True,246,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001829,12.9693195,77.7012098,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001830,12.9682954,77.6607108,vehicle_breakdown,Low,0.043,0.025,0.043,41,113,1,False,False,113,False,False,,[]
FKID001831,13.0192626,77.6191858,accident,Low,0.095,0.095,0.03,40,89,1,False,False,89,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001832,12.9738909,77.5433266,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID001833,12.972293,77.5821863,vehicle_breakdown,Low,0.135,0.135,0.043,41,113,1,False,False,113,False,False,,[]
FKID001834,13.0284816,77.5405868,vehicle_breakdown,Low,0.043,0.011,0.043,41,113,1,False,False,113,False,False,,[]
FKID001835,12.9808053,77.602889,pot_holes,Low,0.134,0.134,0.024,36,1010,1,False,False,36,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001836,12.9861828,77.646009,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID001837,12.9453679,77.5278975,others,Medium,0.086,0.039,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001838,12.9636634,77.5844901,vehicle_breakdown,Low,0.086,0.086,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001839,13.0414567,77.546055,vehicle_breakdown,Low,0.043,0.026,0.043,41,113,1,False,False,113,False,False,,[]
FKID001840,12.9568175,77.7011908,construction,High,0.265,0.092,0.265,296,1420,3,False,True,296,True,False,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review']"
FKID001841,12.9633864,77.5890984,others,Medium,0.24,0.24,0.086,75,551,2,False,False,75,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001842,12.9448632,77.596977,vehicle_breakdown,Low,0.076,0.076,0.043,41,113,1,False,False,113,False,False,,[]
FKID001843,12.9455401,77.5280853,vehicle_breakdown,Low,0.053,0.053,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001844,13.0303304,77.5372822,vehicle_breakdown,Low,0.046,0.046,0.043,41,113,1,False,False,113,False,False,,[]
FKID001845,13.0406183,77.5467,vehicle_breakdown,Low,0.043,0.028,0.043,41,113,1,False,False,113,False,False,,[]
FKID001846,13.0026184,77.6160608,pot_holes,Low,0.033,0.033,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001847,12.9881198,77.5104661,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001848,12.9906595,77.6562986,vehicle_breakdown,Low,0.043,0.015,0.043,41,113,1,False,False,113,False,False,,[]
FKID001849,12.9858672,77.5265477,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001850,13.0424993,77.6109634,construction,High,0.265,0.063,0.265,296,1420,3,False,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001851,12.9843032,77.6029397,vehicle_breakdown,Low,0.076,0.076,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001852,13.0423323,77.5489953,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001853,12.9314436,77.6861075,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001854,12.9889559,77.5078589,vehicle_breakdown,Low,0.043,0.021,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001855,13.0446549,77.6434811,vehicle_breakdown,Low,0.043,0.017,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001856,12.9272683,77.5817867,pot_holes,Low,0.024,0.022,0.024,36,1010,1,False,False,36,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001857,12.95876021,77.66366888,vip_movement,High,0.8,0.417,0.8,46,110,4,True,True,110,False,False,,[]
FKID001858,12.9171178,77.5851136,vehicle_breakdown,Low,0.043,0.022,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001859,12.9829216,77.6378449,vehicle_breakdown,Low,0.083,0.083,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001860,12.9233433,77.655885,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001861,12.95410975,77.54372584,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001862,13.03115,77.5872166,vehicle_breakdown,Low,0.043,0.024,0.043,41,113,1,False,False,113,False,False,,[]
FKID001863,12.9537342,77.5426696,vehicle_breakdown,Low,0.048,0.048,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
FKID001864,12.9363031,77.7054752,construction,High,0.265,0.083,0.265,296,1420,3,False,True,296,True,True,,"['duration tail is ticket-lifecycle; dispatch on median, route to F7 review', 'night shift - reduced staffing; verify unit availability']"
FKID001865,12.9510377,77.5747268,procession,Medium,0.264,0.108,0.264,36,117,2,False,False,117,False,False,,[]
FKID001866,13.0269436,77.5435876,vehicle_breakdown,Low,0.043,0.011,0.043,41,113,1,False,False,113,False,False,,[]
FKID001867,13.044349,77.562629,vehicle_breakdown,Low,0.108,0.108,0.043,41,113,1,False,False,113,False,False,,[]
FKID001868,13.0394834,77.5896122,vehicle_breakdown,Low,0.088,0.088,0.043,41,113,1,False,False,113,False,False,,[]
FKID001869,12.9276546,77.6209382,vehicle_breakdown,Low,0.05,0.05,0.043,41,113,1,False,False,113,False,False,,[]
FKID001870,12.9919839,77.5753274,vehicle_breakdown,Low,0.072,0.072,0.043,41,113,1,False,False,113,False,False,,[]
FKID001871,12.9560609,77.5462605,vehicle_breakdown,Low,0.053,0.053,0.043,41,113,1,False,False,113,False,False,,[]
FKID001872,12.9115311,77.5531343,vehicle_breakdown,Low,0.043,0.018,0.043,41,113,1,False,False,113,False,True,,['night shift - reduced staffing; verify unit availability']
